Sno,Date,State/UnionTerritory,Confirmed,Cured,Deaths
612,03-04-2020,Rajasthan,167,3,0
613,03-04-2020,Tamil Nadu,309,6,1
614,03-04-2020,Telengana,158,1,7
615,03-04-2020,Uttarakhand,10,2,0
616,03-04-2020,Uttar Pradesh,172,14,2
617,03-04-2020,West Bengal,63,3,3
618,03-04-2020,Unassigned,77,0,0
619,04-04-2020,Andhra Pradesh,161,1,1
620,04-04-2020,Andaman and Nicobar Islands,10,0,0
621,04-04-2020,Arunachal Pradesh,1,0,0
622,04-04-2020,Assam,24,0,0
623,04-04-2020,Bihar,30,0,1
624,04-04-2020,Chandigarh,18,0,0
625,04-04-2020,Chhattisgarh,9,3,0
626,04-04-2020,Delhi,445,15,6
627,04-04-2020,Goa,7,0,0
628,04-04-2020,Gujarat,105,14,10
629,04-04-2020,Haryana,49,24,0
630,04-04-2020,Himachal Pradesh,6,1,1
631,04-04-2020,Jammu and Kashmir,75,3,2
632,04-04-2020,Jharkhand,2,0,0
633,04-04-2020,Karnataka,128,12,3
634,04-04-2020,Kerala,295,41,2
